,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.424,0.005,0.415,0.432,0.0,0.0,1378.0,1083.0,1.01
f_ps,0.562,0.003,0.556,0.568,0.0,0.0,753.0,677.0,1.0
flux,90.071,0.292,89.572,90.647,0.008,0.006,1277.0,1453.0,1.0
n,7.669,0.095,7.473,7.836,0.004,0.003,504.0,307.0,1.01
r_eff,5.241,0.159,4.938,5.533,0.005,0.003,1084.0,1133.0,1.0
sky_back,0.001,0.0,0.0,0.001,0.0,0.0,1107.0,1081.0,1.0
theta,4.556,0.006,4.546,4.567,0.0,0.0,1535.0,1451.0,1.0
xc,15.747,0.001,15.744,15.749,0.0,0.0,3395.0,1222.0,1.0
yc,16.225,0.001,16.222,16.227,0.0,0.0,3791.0,1371.0,1.0
