,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.616,0.004,0.61,0.624,0.0,0.0,1682.0,1189.0,1.0
f_ps,0.016,0.009,0.0,0.03,0.0,0.0,556.0,487.0,1.0
flux,36.652,0.149,36.371,36.935,0.004,0.003,1567.0,1189.0,1.0
n,1.065,0.035,0.996,1.123,0.001,0.001,926.0,1120.0,1.0
r_eff,4.478,0.055,4.378,4.58,0.002,0.001,780.0,1109.0,1.0
sky_back,0.002,0.0,0.002,0.003,0.0,0.0,1646.0,1637.0,1.0
theta,3.665,0.004,3.658,3.673,0.0,0.0,2465.0,1484.0,1.0
xc,15.711,0.012,15.689,15.734,0.0,0.0,1653.0,1241.0,1.0
yc,15.959,0.009,15.941,15.976,0.0,0.0,1708.0,1335.0,1.0
