,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.732,0.009,0.715,0.751,0.0,0.0,1992.0,1276.0,1.0
f_ps,0.001,0.001,0.0,0.002,0.0,0.0,1322.0,558.0,1.0
flux,9.793,0.075,9.645,9.936,0.002,0.001,1997.0,1321.0,1.01
n,0.655,0.005,0.65,0.665,0.0,0.0,1373.0,745.0,1.0
r_eff,4.144,0.045,4.064,4.228,0.001,0.001,2185.0,1496.0,1.0
sky_back,0.005,0.0,0.005,0.005,0.0,0.0,1914.0,1577.0,1.0
theta,3.916,0.008,3.902,3.932,0.0,0.0,2521.0,1319.0,1.0
xc,18.762,0.027,18.712,18.81,0.001,0.0,1866.0,1388.0,1.0
yc,14.153,0.027,14.105,14.205,0.001,0.0,1895.0,1217.0,1.0
