,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.613,0.199,0.251,0.9,0.028,0.021,43.0,71.0,1.03
flux,4.654,0.188,4.255,4.964,0.035,0.025,32.0,68.0,1.04
n,0.947,0.223,0.651,1.359,0.053,0.038,22.0,65.0,1.08
r_eff,0.542,0.041,0.5,0.611,0.006,0.004,52.0,109.0,1.01
sky_back,-0.001,0.0,-0.001,-0.0,0.0,0.0,41.0,107.0,1.09
theta,1.436,0.659,0.036,2.585,0.017,0.014,1560.0,1030.0,1.0
xc,15.93,0.058,15.821,16.033,0.014,0.01,18.0,135.0,1.08
yc,16.261,0.049,16.178,16.358,0.008,0.006,38.0,37.0,1.08
