,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.512,0.037,0.447,0.584,0.001,0.001,1497.0,1350.0,1.0
f_ps,0.091,0.072,0.0,0.219,0.004,0.003,297.0,284.0,1.01
flux,4.126,0.21,3.768,4.546,0.017,0.013,238.0,102.0,1.01
n,3.905,1.195,1.819,6.188,0.102,0.084,235.0,86.0,1.01
r_eff,2.061,0.306,1.573,2.618,0.014,0.01,498.0,657.0,1.0
sky_back,0.0,0.0,-0.0,0.0,0.0,0.0,565.0,626.0,1.0
theta,2.287,0.045,2.194,2.364,0.001,0.001,1478.0,1213.0,1.0
xc,16.086,0.024,16.045,16.134,0.001,0.0,1599.0,1199.0,1.0
yc,15.639,0.025,15.592,15.683,0.001,0.0,1774.0,1627.0,1.0
