,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.608,0.003,0.602,0.614,0.0,0.0,1780.0,1607.0,1.0
f_ps,0.0,0.0,0.0,0.001,0.0,0.0,1304.0,599.0,1.0
flux,23.705,0.067,23.581,23.833,0.002,0.001,1405.0,1455.0,1.0
n,0.652,0.002,0.65,0.655,0.0,0.0,1537.0,970.0,1.0
r_eff,4.338,0.018,4.305,4.37,0.0,0.0,2002.0,1441.0,1.0
sky_back,0.002,0.0,0.002,0.002,0.0,0.0,1798.0,1360.0,1.0
theta,3.636,0.004,3.63,3.643,0.0,0.0,3880.0,1420.0,1.0
xc,15.295,0.011,15.276,15.318,0.0,0.0,1810.0,1519.0,1.0
yc,15.275,0.009,15.259,15.291,0.0,0.0,1767.0,1629.0,1.0
