,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.575,0.002,0.571,0.58,0.0,0.0,1422.0,1170.0,1.0
flux,43.14,0.124,42.883,43.357,0.004,0.003,953.0,1164.0,1.0
n,0.651,0.001,0.65,0.654,0.0,0.0,1181.0,611.0,1.0
r_eff,5.552,0.018,5.516,5.583,0.001,0.0,1139.0,1340.0,1.0
sky_back,-0.0,0.0,-0.001,0.0,0.0,0.0,867.0,1037.0,1.0
theta,2.524,0.003,2.519,2.529,0.0,0.0,2767.0,1417.0,1.0
xc,15.868,0.012,15.845,15.891,0.0,0.0,1317.0,1373.0,1.0
yc,16.099,0.01,16.08,16.117,0.0,0.0,1582.0,1612.0,1.0
