,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.384,0.0,0.383,0.384,0.0,0.0,1690.0,1361.0,1.0
f_ps,0.058,0.001,0.056,0.06,0.0,0.0,720.0,889.0,1.0
flux,230.851,0.177,230.533,231.204,0.005,0.004,1080.0,1014.0,1.0
n,1.045,0.005,1.037,1.055,0.0,0.0,967.0,1153.0,1.0
r_eff,5.104,0.005,5.096,5.113,0.0,0.0,619.0,1004.0,1.0
sky_back,-0.003,0.0,-0.003,-0.002,0.0,0.0,1126.0,1022.0,1.0
theta,3.904,0.0,3.903,3.905,0.0,0.0,2549.0,1261.0,1.0
xc,16.819,0.001,16.817,16.821,0.0,0.0,2101.0,1430.0,1.0
yc,15.163,0.001,15.162,15.165,0.0,0.0,2025.0,1377.0,1.0
