,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.414,0.002,0.409,0.418,0.0,0.0,1375.0,1183.0,1.0
f_ps,0.001,0.001,0.0,0.004,0.0,0.0,946.0,737.0,1.0
flux,97.715,0.314,97.164,98.336,0.009,0.007,1096.0,1133.0,1.0
n,2.018,0.024,1.971,2.062,0.001,0.001,1151.0,1081.0,1.0
r_eff,3.869,0.017,3.837,3.899,0.0,0.0,1372.0,1382.0,1.0
sky_back,0.007,0.0,0.007,0.008,0.0,0.0,1162.0,1288.0,1.0
theta,3.185,0.003,3.178,3.191,0.0,0.0,2459.0,1181.0,1.01
xc,16.032,0.005,16.022,16.042,0.0,0.0,1581.0,1452.0,1.0
yc,16.176,0.004,16.168,16.183,0.0,0.0,1427.0,1326.0,1.0
