,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.173,0.003,0.169,0.178,0.0,0.0,1973.0,1481.0,1.0
f_ps,0.189,0.003,0.183,0.195,0.0,0.0,1487.0,1345.0,1.0
flux,126.467,1.444,123.745,129.009,0.039,0.027,1395.0,1176.0,1.0
n,0.775,0.013,0.752,0.798,0.0,0.0,1483.0,1064.0,1.0
r_eff,6.253,0.051,6.163,6.351,0.001,0.001,1560.0,1361.0,1.0
sky_back,0.019,0.001,0.018,0.021,0.0,0.0,1676.0,1232.0,1.0
theta,3.992,0.007,3.979,4.006,0.0,0.0,2291.0,1458.0,1.0
xc,15.39,0.005,15.38,15.4,0.0,0.0,2161.0,1507.0,1.0
yc,14.49,0.006,14.479,14.501,0.0,0.0,2086.0,1240.0,1.0
