,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.495,0.006,0.484,0.506,0.0,0.0,1661.0,1213.0,1.0
f_ps,0.016,0.01,0.0,0.034,0.0,0.0,530.0,526.0,1.0
flux,28.658,0.275,28.172,29.191,0.007,0.005,1433.0,1356.0,1.0
n,1.367,0.063,1.252,1.486,0.002,0.002,868.0,1077.0,1.0
r_eff,4.088,0.064,3.96,4.197,0.002,0.002,846.0,1338.0,1.0
sky_back,0.002,0.0,0.001,0.002,0.0,0.0,1425.0,1460.0,1.0
theta,2.296,0.008,2.282,2.314,0.0,0.0,1804.0,1372.0,1.0
xc,15.241,0.013,15.216,15.266,0.0,0.0,1595.0,1373.0,1.0
yc,15.384,0.015,15.358,15.412,0.0,0.0,1757.0,1407.0,1.0
