,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.378,0.007,0.365,0.39,0.0,0.0,2414.0,1567.0,1.0
f_ps,0.059,0.008,0.045,0.076,0.0,0.0,1411.0,1076.0,1.0
flux,18.68,0.27,18.174,19.192,0.006,0.004,1969.0,1255.0,1.0
n,1.03,0.055,0.922,1.127,0.001,0.001,1483.0,1177.0,1.0
r_eff,6.518,0.096,6.336,6.692,0.002,0.001,2115.0,1295.0,1.0
sky_back,0.003,0.0,0.002,0.003,0.0,0.0,1991.0,1420.0,1.0
theta,3.183,0.015,3.156,3.211,0.0,0.0,2802.0,1339.0,1.0
xc,14.512,0.029,14.459,14.566,0.001,0.0,2449.0,1377.0,1.0
yc,14.522,0.02,14.481,14.555,0.0,0.0,2424.0,1397.0,1.0
