,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.569,0.026,0.522,0.618,0.001,0.0,2024.0,1229.0,1.0
f_ps,0.05,0.041,0.0,0.128,0.002,0.001,506.0,681.0,1.0
flux,9.536,0.236,9.13,9.984,0.007,0.005,1139.0,846.0,1.0
n,2.794,0.506,1.852,3.713,0.015,0.011,1153.0,933.0,1.0
r_eff,2.096,0.161,1.848,2.429,0.006,0.005,686.0,1048.0,1.0
sky_back,0.001,0.0,0.001,0.001,0.0,0.0,1333.0,1330.0,1.0
theta,3.681,0.031,3.624,3.742,0.001,0.001,1516.0,1119.0,1.0
xc,16.967,0.021,16.925,17.005,0.0,0.0,1983.0,1207.0,1.0
yc,16.561,0.02,16.523,16.598,0.0,0.0,2091.0,1183.0,1.0
