,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.069,0.007,0.057,0.082,0.0,0.0,2130.0,1157.0,1.0
f_ps,0.057,0.016,0.026,0.084,0.001,0.001,441.0,218.0,1.01
flux,42.615,0.145,42.356,42.882,0.004,0.003,1518.0,1193.0,1.0
n,1.232,0.054,1.136,1.333,0.002,0.002,636.0,371.0,1.0
r_eff,2.559,0.052,2.452,2.65,0.002,0.002,503.0,335.0,1.01
sky_back,0.002,0.0,0.001,0.002,0.0,0.0,1661.0,1433.0,1.0
theta,1.996,0.051,1.904,2.095,0.001,0.001,1983.0,1245.0,1.0
xc,16.978,0.007,16.965,16.993,0.0,0.0,1975.0,1098.0,1.0
yc,15.222,0.008,15.207,15.236,0.0,0.0,2437.0,1495.0,1.0
