,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.474,0.259,0.066,0.899,0.006,0.004,1987.0,1230.0,1.0
f_ps,0.993,0.01,0.979,1.0,0.0,0.0,958.0,685.0,1.0
flux,12.154,0.082,12.004,12.309,0.002,0.001,1566.0,1277.0,1.0
n,4.507,2.214,1.0,7.996,0.06,0.042,1212.0,859.0,1.0
r_eff,3.873,2.672,0.5,8.713,0.071,0.05,951.0,620.0,1.0
sky_back,-0.001,0.0,-0.001,-0.001,0.0,0.0,1836.0,1238.0,1.0
theta,3.045,1.819,0.003,5.859,0.044,0.032,1661.0,1044.0,1.0
xc,15.899,0.018,15.866,15.933,0.0,0.0,1685.0,1444.0,1.0
yc,16.192,0.018,16.158,16.225,0.0,0.0,1352.0,1351.0,1.0
