,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.622,0.01,0.603,0.64,0.0,0.0,1934.0,1273.0,1.0
flux,21.126,0.218,20.734,21.545,0.007,0.005,1119.0,1130.0,1.0
n,2.341,0.125,2.116,2.574,0.004,0.002,1286.0,1395.0,1.0
r_eff,3.148,0.051,3.06,3.246,0.001,0.001,1303.0,1181.0,1.0
sky_back,0.002,0.0,0.001,0.002,0.0,0.0,1248.0,1284.0,1.0
theta,2.761,0.01,2.743,2.78,0.0,0.0,2225.0,1268.0,1.0
xc,15.512,0.015,15.482,15.538,0.0,0.0,2015.0,1367.0,1.0
yc,15.68,0.012,15.659,15.705,0.0,0.0,2026.0,1490.0,1.0
