DEC,RA,REDSHIFT
52.9707382,215.08487,3.869323325181277
53.03604120000001,215.2406522,4.4777296659761054
-5.35234650954,34.77560597774,2.557158342657328
62.18287872999999,189.07922474,5.353195072441148
62.21008522370065,189.0048964207393,2.487884212800722
22.3753312,177.3850986,2.759575937157462
22.402318,177.4129494,2.791666926773879
-30.42257599999999,3.5771664,4.583730998336567
2.45608777577,150.43237948259,4.546841884946985
2.46638019856,150.46508278343,3.019433950614266
2.47340088136,150.47054831357,3.5402200105253927
2.47340088136,150.47054831357,3.5402180104637146
2.42795331923,150.48620028948,3.594521685071112
2.42795331923,150.48620028948,3.5954417134427894
2.46232245043,150.43990752729,3.669924010315075
62.2515236,189.0146413,2.9415237480328114
-5.36689970704,34.7781692572,2.5406291853150966
-49.6116447,10.3958298,3.2407607758529133
-5.36054034066,34.77011676151,3.0890160963765343
-49.61992800000002,10.3966823,3.2435808628182716
-5.33553392898,34.78614268669,2.5477194039620423
22.41584968566895,177.4292602539063,3.677692649883049
22.36835479736328,177.4036560058594,4.247779030108991
22.3862567,177.4242018,3.695658303904805
22.3840694,177.4025726,4.255656673038392
-5.36816387668,34.76488225446,1.641831468345372
-5.36125181835,34.76158092639,2.2853413127915014
-5.36604553258,34.77801470686,2.543579276289496
-5.180905150469131,34.56561687119222,3.0225902479476217
-5.207466541272254,34.56394207035471,3.699358618014455
-5.53633877868,34.40167988259,2.6211982698906975
-4.54772046795,36.73679886343,2.419435447963426
-4.5334815238,36.72581869386,2.5827904854780344
-30.4210639846674,3.581208713446193,2.5081381833631555
12.8039106,356.6371295,2.2262894917615803
62.2773381,189.2194784,2.3771576442077706
2.450619,150.502426,1.2054525113659977
2.486455,150.486252,1.5076173294727941
2.476694,150.52742,1.1698669139834532
2.450759,150.496063,1.3701030888322445
52.906722346257695,214.89554496265416,4.7998648552369065
62.17314871,189.0130484,3.8505952818247353
62.20725588,189.00014147,5.1972584099911385
53.05934869999999,215.1781971,4.483089086560124
-30.4244041363612,3.580275358740606,4.015344262325519
-30.43189477296596,3.599716356374942,4.019524791243953
62.21873729347476,188.9982073591153,2.4884932775569215
12.7847323,356.6231682,2.544398301546456
12.8255767,356.5949639,2.9620748817851466
12.7699214,356.62780260000005,2.087007196598069
12.7973838,356.60527649999995,2.1747717030648555
12.8175983,356.6216402,2.2430110074168104
12.7824354,356.5853132,2.5794245816808705
12.8222056,356.58889569999997,2.7558066209199223
12.7867139,356.6230078,2.5762582840391275
12.8242678,356.6332637,2.2791009203513504
12.7864318,356.6143693,2.4499143878677434
52.94337516242144,214.9949321247055,2.73657022771133
