ALPHA_J2000,BH_MASS,DELTA_J2000,FLUXERR_F115W,FLUXERR_F150W,FLUXERR_F200W,FLUXERR_F277W,FLUXERR_F356W,FLUXERR_F444W,FLUXERR_F606W,FLUXERR_F814W,FLUX_F115W,FLUX_F150W,FLUX_F200W,FLUX_F277W,FLUX_F356W,FLUX_F444W,FLUX_F606W,FLUX_F814W,REDSHIFT,SURVEY,SURVEY_ID
34.40179417964186,7.0943708499745135,-5.250181205379194,3.0165751498628713e-09,2.192225841990901e-09,1.5844463519625684e-09,5.932444909546802e-09,7.76991880633442e-09,7.943823847411435e-09,2.9765958609808315e-09,3.0192382926005934e-09,2.125454817058147e-08,1.5720345104219783e-08,2.010616543103529e-08,1.1864889819093603e-07,1.553983761266884e-07,1.5887647694822872e-07,7.149518504767663e-11,3.349863744954277e-08,4.710174890409039,PRIMER-UDS,94378
34.417814725871466,7.210475277267485,-5.134860033615938,2.600657243134452e-09,2.4112170207192925e-09,2.776548890462592e-09,1.228334425727279e-08,1.2053279242204105e-08,1.391515909157646e-08,4.78057256392677e-09,6.90653443576252e-09,2.2194707666143996e-08,2.047865771737209e-08,5.553097780925184e-08,2.456668851454558e-07,2.410655848440821e-07,2.7830318183152917e-07,1.2471193834201055e-08,1.592626563599405e-08,3.6181747685893706,PRIMER-UDS,237731
34.27070480912462,7.740681766291537,-5.217649083317466,6.143159601722166e-09,5.399275111473245e-09,6.096773601367817e-09,2.0499425425226445e-08,5.203601259191036e-08,3.78193105279267e-08,2.4079050643377915e-09,3.0425723868031705e-09,8.149289421934008e-08,9.706163647289794e-08,1.2193547202735634e-07,4.099885085045289e-07,1.0407202518382072e-06,7.56386210558534e-07,2.8581181605086788e-08,6.085144773606341e-08,4.686400349465428,PRIMER-UDS,130917
189.24855541572825,4.27529974867946,62.23292252484226,3.4022046218354575e-09,3.605584410466673e-09,5.175639505536118e-09,3.825086425019853e-09,2.530721171711212e-09,2.670000612968437e-09,4.30540806689032e-09,3.739949668841724e-09,6.804409243670914e-08,7.211168820933346e-08,1.0351279011072236e-07,7.650172850039707e-08,5.061442343422423e-08,5.340001225936874e-08,8.61081613378064e-08,7.479899337683448e-08,2.9218729533818197,JADES-DR3-GN-Deep,7193
214.92394147573214,6.96223739285337,52.948391735445746,2.489858470698359e-09,2.572929729079007e-09,2.8510261015715326e-09,5.780576365134087e-09,6.7995501918309605e-09,8.57989002600819e-09,2.4273002845107363e-09,4.0910422077509316e-09,4.9297163599219393e-08,5.145859458158014e-08,5.702052203143065e-08,1.1561152730268173e-07,1.359910038366192e-07,1.7159780052016382e-07,-8.177316326925136e-10,1.881990032219607e-08,5.2710159635441345,CEERSP2,5881
214.8292318813578,6.020178246917673,52.861096883249694,1.6953981719754271e-09,1.795699316448181e-09,1.803601461874488e-09,4.631517431223857e-09,4.033578563343935e-09,2.635180038689573e-09,2.465583029902511e-09,2.620137369273201e-09,3.0188065957885786e-08,3.591398632896362e-08,3.607202923748976e-08,9.263034862447714e-08,8.06715712668787e-08,5.270360077379146e-08,1.0132764920534598e-08,3.464419197886784e-08,4.7057429381185525,CEERSP3,6122
214.9255575350245,5.811962195208977,52.87958022000152,5.554439032238865e-09,5.557074011276187e-09,8.202612692659592e-09,1.004212584051406e-08,1.0888826978543838e-08,1.0394818473275424e-08,2.050789037067312e-09,3.855635127931589e-09,1.110887806447773e-07,1.1114148022552372e-07,1.6405225385319184e-07,2.008425168102812e-07,2.1777653957087675e-07,2.0789636946550846e-07,4.101578074134624e-08,7.71127025586318e-08,3.838474531469828,CEERSP5,3919
150.07228521021443,7.003638177470393,2.3708398900975345,3.3008767170838775e-09,2.8182583270196814e-09,3.0841929849691993e-09,6.690085593222458e-09,6.375099098405102e-09,8.274289420848343e-09,4.271987610510343e-09,5.331905525472888e-09,1.9243399415595495e-08,2.3365487970201948e-08,6.168385969938399e-08,1.3380171186444917e-07,1.2750198196810202e-07,1.6548578841696685e-07,8.075083467840711e-10,1.9209222914298902e-08,2.990447159103819,PRIMER-COSMOS,133273
34.381670683319335,6.811134898854026,-5.303757055379882,2.7885806949993893e-09,1.6849640138488576e-09,3.267384602609226e-09,5.174424691290402e-09,9.880178294264006e-09,9.401216181504392e-09,nan,nan,2.5671063740749363e-08,2.1198684579883238e-08,6.534769205218453e-08,1.0348849382580803e-07,1.9760356588528012e-07,1.8802432363008785e-07,0.0,0.0,3.8054937480860396,PRIMER-UDS,23392
150.10627551212121,5.542173949604183,2.3031189718914864,2.0889860405663536e-09,2.871665206808057e-09,4.104913232265514e-09,2.8373291127413896e-09,2.698413083485448e-09,2.5192323306492363e-09,4.265708848994508e-09,5.230317818857437e-09,3.543995970057421e-08,5.743330413616114e-08,8.209826464531028e-08,5.6746582254827795e-08,5.396826166970896e-08,5.0384646612984725e-08,6.310325827449853e-08,5.8497626740600636e-08,2.6545174635774873,PRIMER-COSMOS,93339
189.12252684130274,6.414300181912043,62.292857596815075,2.1186640783217037e-09,2.5522613081788604e-09,1.907855904499694e-09,3.876121497119835e-09,4.351051387630102e-09,3.5398041338705924e-09,2.3319917775672325e-09,1.8062178189654551e-09,2.1245175714641557e-08,2.6497681811363223e-08,2.537618830778464e-08,7.75224299423967e-08,8.702102775260205e-08,7.079608267741185e-08,1.4744588410119293e-08,2.213046162485572e-08,4.680949891893533,JADES-DR3-GN-Medium,7903
214.8454894795466,6.567335112742289,52.84829202297146,2.2666069951132942e-09,2.164855078614194e-09,3.2487843575886697e-09,6.7288699220921646e-09,5.874737316838184e-09,8.727016326933465e-09,2.2764580607533153e-09,2.3378724259352847e-09,4.533213990226589e-08,4.302685894126924e-08,6.497568715177339e-08,1.345773984418433e-07,1.1749474633676368e-07,1.7454032653866932e-07,4.552916121506631e-08,4.4271597354923714e-08,3.5190679077690534,CEERSP6,1444
34.30363314251574,6.461401668675959,-5.242651898806198,3.3066808388468805e-09,2.8050838290198583e-09,1.927582215881125e-09,3.742605202497224e-09,3.767502890382643e-09,4.862882976832901e-09,3.7154745989017196e-09,3.607907267612945e-09,1.0742018224928883e-08,1.5320443887400592e-08,2.287949101337831e-08,7.485210404994448e-08,7.535005780765287e-08,9.725765953665804e-08,1.880406841076246e-08,2.859405744779628e-08,3.699425664569624,PRIMER-UDS,104399
34.26459080746052,7.445139448171093,-5.232554272637821,4.884964217613188e-09,3.849265495261099e-09,3.3860404425069846e-09,5.1849065940303754e-09,1.3244825827931614e-08,2.0186234402982573e-08,3.2268577092767196e-09,3.783948694330046e-09,6.400918036192133e-08,6.649290218565882e-08,6.772080885013969e-08,1.0369813188060751e-07,2.6489651655863227e-07,4.037246880596514e-07,-3.5019269057114517e-09,2.151802876125088e-08,5.672939348734044,PRIMER-UDS,115903
189.2613213908207,7.109600882356697,62.231969657758846,2.6449386384303813e-09,2.4060409263779873e-09,2.6219929575448104e-09,3.6517511765229875e-09,8.070972139051636e-09,8.813086272089141e-09,1.93129261496606e-09,1.936121833625195e-09,5.2898772768607625e-08,4.812081852755975e-08,5.243985915089621e-08,7.303502353045975e-08,1.6141944278103274e-07,1.7626172544178282e-07,2.048170827697364e-09,3.87224366725039e-08,5.535464986066612,JADES-DR3-GN-Deep,5090
189.15196401271038,7.512525343060071,62.25965049967749,2.5144850554112635e-09,2.45464590637723e-09,2.7589824084790768e-09,3.695850195392636e-09,1.1333934790856335e-08,1.4047281306418616e-08,1.48325845148634e-09,1.231018617288566e-09,5.028970110822527e-08,4.90929181275446e-08,5.517964816958153e-08,7.391700390785273e-08,2.2667869581712672e-07,2.809456261283723e-07,-1.2878874176787404e-09,5.119282469006976e-09,6.760269979874092,JADES-DR3-GN-Medium,8875
214.92412069005934,7.511191589174705,52.84905581622625,1.6456227621184967e-09,1.983124309774895e-09,3.2672768556185045e-09,1.3681616656145284e-08,2.6301067641752226e-08,2.4404256448533847e-08,2.8038851225892438e-09,3.763082867346198e-09,3.2912455242369935e-08,3.759266413818345e-08,6.534553711237009e-08,2.736323331229057e-07,5.260213528350445e-07,4.88085128970677e-07,1.3365139123979952e-08,2.3665631979198155e-08,4.223775672905222,CEERSP9,8153
