,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.503,0.002,0.499,0.506,0.0,0.0,1685.0,1294.0,1.0
f_ps,0.0,0.0,0.0,0.001,0.0,0.0,876.0,540.0,1.0
flux,65.51,0.601,64.369,66.584,0.019,0.014,1296.0,649.0,1.0
n,0.792,0.012,0.77,0.815,0.0,0.0,1317.0,720.0,1.0
r_eff,3.835,0.016,3.806,3.866,0.0,0.0,1351.0,743.0,1.0
sky_back,0.009,0.0,0.009,0.01,0.0,0.0,1363.0,1042.0,1.0
theta,3.269,1.571,1.695,4.844,1.107,0.936,3.0,71.0,1.83
xc,15.262,0.004,15.255,15.269,0.0,0.0,2438.0,1332.0,1.0
yc,16.207,0.006,16.197,16.219,0.0,0.0,1675.0,1174.0,1.0
