,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.49,0.002,0.487,0.494,0.0,0.0,1581.0,1476.0,1.0
f_ps,0.0,0.0,0.0,0.001,0.0,0.0,1078.0,695.0,1.0
flux,66.795,0.192,66.423,67.134,0.005,0.004,1306.0,1189.0,1.0
n,0.898,0.008,0.883,0.912,0.0,0.0,1328.0,1188.0,1.0
r_eff,3.934,0.009,3.917,3.95,0.0,0.0,2386.0,1615.0,1.0
sky_back,0.01,0.0,0.01,0.01,0.0,0.0,1641.0,1639.0,1.0
theta,3.236,1.571,1.661,4.81,1.107,0.936,3.0,88.0,1.83
xc,15.409,0.004,15.402,15.416,0.0,0.0,2293.0,1442.0,1.0
yc,16.159,0.006,16.149,16.171,0.0,0.0,1792.0,1472.0,1.0
