,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.142,0.031,0.084,0.2,0.001,0.001,1360.0,893.0,1.0
f_ps,0.371,0.115,0.146,0.552,0.008,0.006,190.0,261.0,1.01
flux,21.095,0.458,19.892,21.671,0.035,0.025,258.0,186.0,1.01
n,1.236,0.438,0.653,2.064,0.03,0.021,172.0,130.0,1.02
r_eff,2.133,0.376,1.381,2.696,0.024,0.017,264.0,294.0,1.01
sky_back,0.002,0.0,0.001,0.002,0.0,0.0,1137.0,1303.0,1.0
theta,3.459,0.12,3.222,3.668,0.003,0.003,1166.0,1241.0,1.0
xc,16.021,0.015,15.994,16.048,0.0,0.0,1666.0,1361.0,1.0
yc,15.604,0.014,15.575,15.628,0.0,0.0,1546.0,1273.0,1.0
