,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.303,0.001,0.301,0.306,0.0,0.0,1291.0,1289.0,1.0
f_ps,0.149,0.003,0.144,0.155,0.0,0.0,937.0,1181.0,1.0
flux,300.017,2.401,295.288,304.243,0.09,0.064,714.0,645.0,1.01
n,0.762,0.011,0.742,0.781,0.0,0.0,702.0,623.0,1.0
r_eff,5.268,0.019,5.233,5.303,0.001,0.0,885.0,635.0,1.01
sky_back,0.022,0.001,0.021,0.023,0.0,0.0,1054.0,1171.0,1.0
theta,3.235,1.571,1.66,4.81,1.107,0.936,3.0,70.0,1.83
xc,15.639,0.003,15.633,15.645,0.0,0.0,1935.0,1315.0,1.0
yc,14.936,0.004,14.929,14.943,0.0,0.0,1674.0,1217.0,1.0
