,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.427,0.003,0.423,0.432,0.0,0.0,1080.0,1021.0,1.0
flux,162.4,1.791,159.464,166.364,0.087,0.062,428.0,594.0,1.0
n,3.019,0.045,2.937,3.105,0.002,0.002,415.0,713.0,1.0
r_eff,7.02,0.116,6.815,7.253,0.006,0.004,439.0,638.0,1.0
sky_back,-0.024,0.001,-0.027,-0.022,0.0,0.0,462.0,617.0,1.0
theta,0.651,0.003,0.645,0.657,0.0,0.0,1745.0,1261.0,1.0
xc,15.755,0.006,15.744,15.767,0.0,0.0,1445.0,1277.0,1.0
yc,16.046,0.005,16.036,16.056,0.0,0.0,1294.0,1411.0,1.0
