,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.196,0.001,0.194,0.198,0.0,0.0,1571.0,1326.0,1.0
f_ps,0.037,0.0,0.036,0.037,0.0,0.0,1550.0,1177.0,1.0
flux,711.434,5.21,701.735,720.854,0.116,0.082,2019.0,1410.0,1.0
n,0.65,0.0,0.65,0.65,0.0,0.0,1189.0,849.0,1.0
r_eff,11.026,0.037,10.956,11.092,0.001,0.001,1973.0,1478.0,1.0
sky_back,-0.332,0.006,-0.343,-0.322,0.0,0.0,2033.0,1500.0,1.0
theta,3.614,1.571,2.039,5.189,1.107,0.936,3.0,81.0,1.83
xc,16.008,0.004,16.0,16.016,0.0,0.0,1541.0,1249.0,1.0
yc,16.911,0.005,16.9,16.92,0.0,0.0,1504.0,1242.0,1.01
