,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.245,0.033,0.185,0.31,0.001,0.001,1722.0,1157.0,1.0
f_ps,0.096,0.071,0.0,0.223,0.004,0.003,286.0,556.0,1.01
flux,7.525,0.345,6.904,7.997,0.032,0.023,151.0,393.0,1.01
n,0.859,0.16,0.651,1.159,0.013,0.009,96.0,70.0,1.01
r_eff,1.997,0.139,1.765,2.276,0.006,0.004,477.0,806.0,1.01
sky_back,0.0,0.0,-0.0,0.0,0.0,0.0,1603.0,1268.0,1.0
theta,2.082,0.08,1.934,2.234,0.002,0.002,1328.0,1182.0,1.0
xc,15.59,0.024,15.542,15.636,0.001,0.0,1930.0,1267.0,1.0
yc,15.984,0.024,15.936,16.027,0.001,0.0,1703.0,1228.0,1.0
