,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.459,0.004,0.45,0.467,0.0,0.0,1967.0,1388.0,1.0
flux,55.789,0.349,55.14,56.438,0.012,0.008,912.0,1113.0,1.0
n,2.187,0.047,2.105,2.28,0.001,0.001,1024.0,968.0,1.0
r_eff,4.194,0.037,4.124,4.263,0.001,0.001,1086.0,1191.0,1.0
sky_back,0.001,0.0,0.001,0.002,0.0,0.0,1007.0,1200.0,1.0
theta,1.181,0.005,1.171,1.192,0.0,0.0,2124.0,1298.0,1.0
xc,15.702,0.008,15.688,15.716,0.0,0.0,2566.0,1415.0,1.0
yc,15.53,0.009,15.513,15.548,0.0,0.0,2329.0,1529.0,1.0
