,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.162,0.003,0.157,0.168,0.0,0.0,1377.0,1432.0,1.0
flux,163.283,1.244,160.877,165.477,0.065,0.046,362.0,625.0,1.0
n,2.25,0.024,2.209,2.297,0.001,0.001,478.0,770.0,1.0
r_eff,6.291,0.062,6.185,6.412,0.003,0.002,363.0,710.0,1.0
sky_back,-0.007,0.001,-0.009,-0.005,0.0,0.0,379.0,759.0,1.0
theta,0.839,0.008,0.824,0.855,0.0,0.0,1776.0,1456.0,1.0
xc,15.411,0.005,15.401,15.421,0.0,0.0,2215.0,1368.0,1.0
yc,14.481,0.006,14.471,14.492,0.0,0.0,1703.0,1389.0,1.0
