,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.441,0.001,0.438,0.444,0.0,0.0,1656.0,1072.0,1.0
f_ps,0.101,0.002,0.097,0.106,0.0,0.0,1787.0,1556.0,1.0
flux,82.001,0.807,80.422,83.441,0.019,0.013,1875.0,1434.0,1.0
n,0.933,0.014,0.907,0.961,0.0,0.0,1829.0,1443.0,1.0
r_eff,8.34,0.06,8.235,8.463,0.001,0.001,1781.0,1355.0,1.0
sky_back,-0.009,0.001,-0.01,-0.007,0.0,0.0,1864.0,1281.0,1.0
theta,3.725,0.002,3.721,3.729,0.0,0.0,2399.0,1403.0,1.0
xc,13.81,0.007,13.796,13.823,0.0,0.0,1720.0,1315.0,1.0
yc,14.263,0.006,14.251,14.274,0.0,0.0,1677.0,1492.0,1.0
