,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.132,0.049,0.039,0.22,0.001,0.001,1069.0,691.0,1.0
f_ps,0.027,0.023,0.0,0.07,0.001,0.001,627.0,430.0,1.0
flux,7.074,0.402,6.474,7.877,0.017,0.012,576.0,1055.0,1.0
n,0.741,0.077,0.65,0.882,0.004,0.003,312.0,327.0,1.0
r_eff,2.904,0.164,2.627,3.227,0.006,0.004,747.0,1342.0,1.0
sky_back,0.001,0.0,0.0,0.001,0.0,0.0,1930.0,1683.0,1.0
theta,4.483,1.515,2.117,5.94,0.464,0.343,17.0,351.0,1.1
xc,15.849,0.066,15.725,15.973,0.002,0.001,1465.0,1211.0,1.0
yc,15.194,0.056,15.082,15.291,0.002,0.001,1128.0,1209.0,1.0
