,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.48,0.0,0.48,0.48,0.0,0.0,868.0,942.0,1.0
f_ps,0.124,0.0,0.124,0.124,0.0,0.0,450.0,612.0,1.0
flux,1963.085,0.404,1962.274,1963.809,0.018,0.012,526.0,632.0,1.0
n,0.65,0.0,0.65,0.65,0.0,0.0,1546.0,1130.0,1.0
r_eff,8.35,0.002,8.347,8.353,0.0,0.0,566.0,637.0,1.0
sky_back,-0.32,0.0,-0.321,-0.319,0.0,0.0,539.0,619.0,1.0
theta,3.958,0.0,3.958,3.958,0.0,0.0,1790.0,1265.0,1.0
xc,14.275,0.0,14.274,14.275,0.0,0.0,476.0,595.0,1.0
yc,16.385,0.0,16.384,16.385,0.0,0.0,570.0,597.0,1.0
