,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.605,0.01,0.585,0.624,0.0,0.0,1849.0,1531.0,1.0
f_ps,0.06,0.048,0.0,0.144,0.002,0.002,396.0,483.0,1.0
flux,29.809,0.856,28.179,31.317,0.033,0.023,678.0,1083.0,1.0
n,2.217,0.437,1.444,2.886,0.021,0.015,477.0,992.0,1.0
r_eff,5.19,0.317,4.657,5.769,0.015,0.011,460.0,796.0,1.0
sky_back,0.0,0.001,-0.001,0.001,0.0,0.0,984.0,1273.0,1.0
theta,2.716,0.011,2.697,2.737,0.0,0.0,2060.0,1456.0,1.0
xc,18.544,0.022,18.499,18.586,0.001,0.0,1780.0,1121.0,1.0
yc,14.901,0.019,14.863,14.933,0.0,0.0,1485.0,1187.0,1.0
