,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.436,0.002,0.432,0.44,0.0,0.0,1524.0,1302.0,1.0
flux,137.927,0.502,136.948,138.818,0.019,0.013,714.0,818.0,1.0
n,1.506,0.017,1.476,1.54,0.001,0.0,937.0,1198.0,1.0
r_eff,4.486,0.018,4.452,4.518,0.001,0.0,1008.0,1259.0,1.0
sky_back,0.011,0.0,0.01,0.011,0.0,0.0,740.0,1122.0,1.0
theta,3.082,0.004,3.075,3.089,0.0,0.0,2206.0,1486.0,1.0
xc,15.709,0.006,15.698,15.721,0.0,0.0,2165.0,1401.0,1.0
yc,16.623,0.005,16.614,16.631,0.0,0.0,1822.0,1258.0,1.0
