,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.185,0.015,0.158,0.215,0.0,0.0,2044.0,1245.0,1.0
flux,4.037,0.041,3.961,4.113,0.001,0.001,932.0,1064.0,1.0
n,1.81,0.091,1.631,1.975,0.003,0.002,1055.0,1420.0,1.0
r_eff,2.218,0.033,2.153,2.274,0.001,0.001,1390.0,1215.0,1.0
sky_back,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,1299.0,1.0
theta,1.225,0.043,1.144,1.302,0.001,0.001,1770.0,1235.0,1.0
xc,14.67,0.012,14.649,14.692,0.0,0.0,2400.0,1433.0,1.0
yc,14.314,0.013,14.292,14.339,0.0,0.0,2558.0,1551.0,1.0
