,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.236,0.018,0.201,0.267,0.0,0.0,1598.0,1272.0,1.0
flux,3.308,0.055,3.214,3.418,0.002,0.002,665.0,861.0,1.0
n,1.437,0.091,1.279,1.619,0.003,0.002,744.0,1022.0,1.0
r_eff,3.035,0.067,2.91,3.159,0.002,0.002,799.0,860.0,1.0
sky_back,0.0,0.0,0.0,0.0,0.0,0.0,765.0,965.0,1.0
theta,0.87,0.042,0.787,0.948,0.001,0.001,1739.0,1164.0,1.0
xc,14.942,0.021,14.901,14.98,0.0,0.0,2499.0,1412.0,1.0
yc,14.738,0.022,14.696,14.78,0.0,0.0,2286.0,1369.0,1.0
