,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.564,0.001,0.563,0.565,0.0,0.0,1867.0,1338.0,1.0
f_ps,0.0,0.0,0.0,0.0,0.0,0.0,886.0,595.0,1.0
flux,395.515,0.699,394.235,396.862,0.021,0.015,1161.0,1121.0,1.0
n,0.65,0.0,0.65,0.65,0.0,0.0,945.0,828.0,1.0
r_eff,10.434,0.011,10.416,10.456,0.0,0.0,1455.0,1368.0,1.0
sky_back,-0.07,0.001,-0.071,-0.068,0.0,0.0,1205.0,1070.0,1.0
theta,4.301,0.0,4.301,4.302,0.0,0.0,1520.0,1425.0,1.0
xc,15.474,0.003,15.468,15.48,0.0,0.0,1868.0,1266.0,1.0
yc,14.964,0.006,14.953,14.974,0.0,0.0,1092.0,1283.0,1.0
