,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.818,0.065,0.7,0.9,0.001,0.001,1349.0,822.0,1.0
flux,17.02,0.619,15.821,17.958,0.029,0.021,500.0,443.0,1.0
n,0.796,0.065,0.659,0.903,0.003,0.002,521.0,475.0,1.0
r_eff,0.509,0.009,0.5,0.526,0.0,0.0,1351.0,665.0,1.0
sky_back,0.001,0.0,0.001,0.001,0.0,0.0,1499.0,1316.0,1.0
theta,2.674,0.108,2.486,2.886,0.003,0.002,1324.0,1291.0,1.01
xc,16.698,0.008,16.683,16.713,0.0,0.0,1719.0,1559.0,1.0
yc,15.116,0.008,15.1,15.131,0.0,0.0,1790.0,1271.0,1.0
