,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.447,0.014,0.421,0.473,0.0,0.0,1605.0,1437.0,1.0
flux,3.86,0.066,3.749,3.997,0.003,0.002,671.0,715.0,1.0
n,1.357,0.077,1.221,1.504,0.003,0.002,846.0,1093.0,1.0
r_eff,4.375,0.095,4.201,4.554,0.003,0.002,822.0,899.0,1.0
sky_back,0.0,0.0,0.0,0.001,0.0,0.0,731.0,875.0,1.0
theta,0.495,0.017,0.461,0.526,0.0,0.0,1771.0,1402.0,1.0
xc,17.657,0.032,17.598,17.717,0.001,0.001,1811.0,1598.0,1.0
yc,17.118,0.025,17.071,17.164,0.001,0.0,2103.0,1576.0,1.0
