,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.363,0.002,0.358,0.367,0.0,0.0,1416.0,1284.0,1.0
f_ps,0.018,0.004,0.012,0.025,0.0,0.0,1111.0,1011.0,1.0
flux,75.902,0.352,75.233,76.544,0.011,0.007,1118.0,1283.0,1.0
n,0.967,0.017,0.935,1.0,0.001,0.0,1083.0,1154.0,1.0
r_eff,5.577,0.026,5.525,5.622,0.001,0.0,1476.0,1399.0,1.0
sky_back,0.004,0.0,0.004,0.005,0.0,0.0,1223.0,1420.0,1.0
theta,2.966,0.004,2.958,2.974,0.0,0.0,2819.0,1424.0,1.0
xc,15.769,0.01,15.751,15.788,0.0,0.0,1550.0,1356.0,1.0
yc,15.925,0.007,15.913,15.937,0.0,0.0,1311.0,1335.0,1.0
