,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.417,0.002,0.413,0.421,0.0,0.0,1941.0,1500.0,1.01
f_ps,0.105,0.006,0.093,0.117,0.0,0.0,1661.0,1116.0,1.0
flux,149.807,0.302,149.276,150.426,0.007,0.005,1784.0,1421.0,1.0
n,1.175,0.027,1.125,1.223,0.001,0.0,1652.0,1253.0,1.0
r_eff,4.193,0.039,4.12,4.268,0.001,0.001,1691.0,1186.0,1.0
sky_back,0.008,0.0,0.007,0.008,0.0,0.0,1804.0,1686.0,1.0
theta,3.054,0.004,3.047,3.06,0.0,0.0,3127.0,1425.0,1.0
xc,14.376,0.005,14.366,14.385,0.0,0.0,1923.0,1482.0,1.0
yc,15.947,0.004,15.939,15.954,0.0,0.0,2293.0,1334.0,1.0
