,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.521,0.006,0.509,0.531,0.0,0.0,1993.0,1442.0,1.0
flux,22.576,0.054,22.47,22.673,0.001,0.001,2287.0,1629.0,1.0
n,1.07,0.032,1.014,1.13,0.001,0.001,1011.0,1019.0,1.0
r_eff,2.168,0.014,2.14,2.192,0.0,0.0,1276.0,1198.0,1.0
sky_back,0.003,0.0,0.003,0.003,0.0,0.0,1576.0,994.0,1.0
theta,0.501,0.006,0.489,0.513,0.0,0.0,2777.0,1433.0,1.0
xc,17.439,0.006,17.427,17.451,0.0,0.0,2779.0,1731.0,1.0
yc,15.782,0.006,15.771,15.793,0.0,0.0,3112.0,1364.0,1.0
