,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.645,0.007,0.631,0.659,0.0,0.0,1742.0,1385.0,1.0
flux,22.032,0.339,21.359,22.621,0.015,0.01,566.0,719.0,1.0
n,5.315,0.258,4.881,5.839,0.01,0.007,682.0,653.0,1.0
r_eff,3.25,0.089,3.087,3.41,0.004,0.003,577.0,812.0,1.0
sky_back,0.0,0.0,0.0,0.001,0.0,0.0,691.0,847.0,1.0
theta,0.36,0.006,0.349,0.371,0.0,0.0,1957.0,1355.0,1.0
xc,17.202,0.009,17.185,17.219,0.0,0.0,1909.0,1271.0,1.01
yc,16.249,0.008,16.236,16.264,0.0,0.0,1809.0,1416.0,1.0
