,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.142,0.102,0.0,0.325,0.003,0.002,676.0,466.0,1.0
f_ps,0.341,0.156,0.034,0.564,0.008,0.006,383.0,178.0,1.01
flux,2.658,0.18,2.334,3.0,0.008,0.005,699.0,565.0,1.0
n,1.849,1.423,0.654,4.787,0.068,0.048,379.0,630.0,1.02
r_eff,2.752,0.825,1.373,4.24,0.036,0.025,491.0,657.0,1.01
sky_back,0.001,0.0,0.0,0.001,0.0,0.0,1281.0,1208.0,1.0
theta,2.78,1.788,0.008,5.745,0.066,0.047,973.0,915.0,1.0
xc,15.63,0.065,15.505,15.752,0.002,0.001,1675.0,1356.0,1.0
yc,16.381,0.067,16.258,16.504,0.002,0.001,1350.0,1229.0,1.0
