,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.821,0.064,0.706,0.9,0.001,0.001,1329.0,647.0,1.0
flux,7.695,0.287,7.146,8.116,0.01,0.007,927.0,905.0,1.0
n,0.814,0.078,0.671,0.949,0.002,0.002,960.0,845.0,1.0
r_eff,0.511,0.01,0.5,0.53,0.0,0.0,1154.0,800.0,1.0
sky_back,0.002,0.0,0.002,0.002,0.0,0.0,1922.0,1389.0,1.0
theta,2.563,0.114,2.338,2.762,0.007,0.005,244.0,1282.0,1.03
xc,14.618,0.011,14.597,14.638,0.0,0.0,1795.0,897.0,1.0
yc,14.662,0.011,14.641,14.682,0.0,0.0,1822.0,1237.0,1.0
