,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.794,0.026,0.748,0.842,0.001,0.0,1545.0,764.0,1.0
f_ps,0.295,0.037,0.225,0.356,0.001,0.001,823.0,996.0,1.0
flux,4.318,0.202,3.943,4.65,0.008,0.006,673.0,1425.0,1.0
n,0.824,0.151,0.65,1.094,0.006,0.004,403.0,263.0,1.0
r_eff,5.636,0.358,5.01,6.324,0.01,0.007,1331.0,1316.0,1.0
sky_back,-0.0,0.0,-0.001,-0.0,0.0,0.0,1798.0,1661.0,1.0
theta,4.183,0.021,4.144,4.221,0.001,0.0,1742.0,1247.0,1.0
xc,16.248,0.041,16.174,16.324,0.001,0.001,1996.0,1289.0,1.0
yc,16.968,0.049,16.872,17.057,0.001,0.001,1889.0,1392.0,1.0
