,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.523,0.003,0.518,0.529,0.0,0.0,1788.0,1313.0,1.0
flux,100.666,1.048,98.819,102.665,0.054,0.038,373.0,593.0,1.0
n,1.806,0.031,1.751,1.866,0.001,0.001,451.0,676.0,1.0
r_eff,7.03,0.086,6.874,7.188,0.004,0.003,367.0,672.0,1.0
sky_back,-0.0,0.001,-0.002,0.002,0.0,0.0,394.0,593.0,1.0
theta,2.063,0.003,2.058,2.069,0.0,0.0,2302.0,1516.0,1.0
xc,15.055,0.008,15.04,15.07,0.0,0.0,1589.0,1601.0,1.0
yc,13.5,0.01,13.482,13.519,0.0,0.0,1533.0,1368.0,1.0
