,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.236,0.017,0.206,0.267,0.0,0.0,1294.0,1382.0,1.0
f_ps,0.029,0.022,0.0,0.067,0.001,0.001,421.0,362.0,1.0
flux,3.296,0.051,3.203,3.393,0.001,0.001,1324.0,1193.0,1.0
n,1.332,0.112,1.133,1.543,0.004,0.003,810.0,818.0,1.0
r_eff,3.146,0.111,2.951,3.349,0.004,0.003,689.0,836.0,1.0
sky_back,0.0,0.0,0.0,0.0,0.0,0.0,1501.0,1332.0,1.0
theta,4.006,0.041,3.934,4.085,0.001,0.001,1583.0,1395.0,1.0
xc,14.942,0.021,14.903,14.982,0.001,0.0,1269.0,1101.0,1.0
yc,14.737,0.023,14.689,14.776,0.001,0.0,1855.0,1500.0,1.0
