,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.395,0.005,0.386,0.405,0.0,0.0,1688.0,1397.0,1.0
flux,30.116,0.188,29.765,30.467,0.006,0.004,906.0,759.0,1.0
n,1.224,0.027,1.174,1.277,0.001,0.001,1224.0,1349.0,1.0
r_eff,4.289,0.033,4.226,4.348,0.001,0.001,1198.0,1032.0,1.0
sky_back,0.002,0.0,0.002,0.002,0.0,0.0,932.0,1089.0,1.0
theta,0.816,0.008,0.799,0.831,0.0,0.0,2163.0,1349.0,1.0
xc,16.755,0.012,16.734,16.778,0.0,0.0,2091.0,1132.0,1.0
yc,16.013,0.012,15.991,16.035,0.0,0.0,2050.0,1457.0,1.0
