,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.557,0.029,0.5,0.61,0.001,0.001,1669.0,1303.0,1.0
f_ps,0.214,0.124,0.003,0.409,0.013,0.009,94.0,151.0,1.01
flux,15.274,0.397,14.203,15.827,0.047,0.033,134.0,89.0,1.01
n,1.386,0.462,0.65,2.144,0.046,0.032,83.0,59.0,1.01
r_eff,2.344,0.415,1.704,3.063,0.037,0.026,132.0,577.0,1.0
sky_back,0.001,0.0,0.0,0.001,0.0,0.0,1241.0,1571.0,1.0
theta,3.899,0.03,3.844,3.957,0.001,0.001,1586.0,1414.0,1.0
xc,16.02,0.02,15.981,16.056,0.0,0.0,1765.0,1335.0,1.0
yc,16.526,0.019,16.489,16.56,0.001,0.0,1484.0,1343.0,1.0
