,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.796,0.114,0.605,0.9,0.004,0.003,1085.0,772.0,1.0
f_ps,0.914,0.033,0.85,0.971,0.001,0.001,691.0,535.0,1.0
flux,6.489,0.118,6.256,6.699,0.005,0.003,609.0,733.0,1.0
n,4.091,2.333,0.651,7.653,0.071,0.05,988.0,906.0,1.0
r_eff,5.385,2.243,1.332,9.531,0.075,0.053,811.0,663.0,1.0
sky_back,0.0,0.0,-0.0,0.0,0.0,0.0,1179.0,1227.0,1.0
theta,3.761,1.052,0.955,4.425,0.347,0.254,31.0,23.0,1.05
xc,15.44,0.016,15.409,15.471,0.0,0.0,1871.0,1351.0,1.0
yc,16.229,0.017,16.196,16.26,0.0,0.0,1799.0,1095.0,1.0
