,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.149,0.002,0.145,0.151,0.0,0.0,1396.0,1282.0,1.0
f_ps,0.254,0.004,0.247,0.261,0.0,0.0,1039.0,1059.0,1.0
flux,357.841,1.306,355.406,360.274,0.04,0.028,1085.0,1018.0,1.0
n,1.678,0.032,1.619,1.739,0.001,0.001,1096.0,1106.0,1.0
r_eff,4.248,0.019,4.211,4.283,0.001,0.0,1335.0,1315.0,1.0
sky_back,-0.014,0.001,-0.016,-0.012,0.0,0.0,1109.0,1000.0,1.0
theta,4.032,0.005,4.023,4.04,0.0,0.0,2284.0,1556.0,1.0
xc,16.705,0.002,16.701,16.709,0.0,0.0,3439.0,1470.0,1.0
yc,16.382,0.002,16.378,16.385,0.0,0.0,3256.0,1401.0,1.0
