,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.288,0.012,0.267,0.311,0.0,0.0,1682.0,1295.0,1.0
flux,6.999,0.05,6.907,7.095,0.001,0.001,1323.0,1289.0,1.0
n,0.658,0.007,0.65,0.671,0.0,0.0,1253.0,685.0,1.0
r_eff,3.134,0.035,3.07,3.196,0.001,0.001,1346.0,1464.0,1.0
sky_back,0.002,0.0,0.001,0.002,0.0,0.0,1385.0,1118.0,1.0
theta,0.421,1.021,0.0,3.131,0.026,0.018,1658.0,1966.0,1.0
xc,16.214,0.024,16.17,16.258,0.001,0.0,1859.0,1391.0,1.0
yc,15.369,0.02,15.335,15.407,0.0,0.0,1736.0,1215.0,1.0
